customer_id,name,hiragana,birth_date,gender,email,phone_number,mobile_number,post_code,address
C-000001,北本 あおい,きたもと あおい,1983-11-13,女,kitamoto_aoi@example.org,045-997-8263,050-9889-6887,225-0185,神奈川県横須賀市東逸見町1-1-308
C-000002,工藤 聖太,くどう しょうた,1988-07-17,男,kudoushouta@example.jp,076-741-3433,090-9078-4294,926-5249,石川県金沢市三口新町3-4-8ネオダイキョー810
C-000003,川越 文香,かわごえ あやか,1983-05-16,女,ayaka_kawagoe@example.net,03-5161-4970,050-5228-6941,201-0638,東京都渋谷区恵比寿1-2-3
C-000004,佐野 恭平,さの きょうへい,1978-11-05,男,sano1121@example.com,0460-53-0443,090-4006-1400,233-2852,神奈川県横浜市瀬谷区宮沢4-3-8
C-000005,平塚 真理,ひらつか まり,2000-09-12,女,hiratsuka_mari@example.com,0283-11-4248,090-3347-6361,325-4246,栃木県小山市駅南町1-2-14ヒルズコート601
C-000006,大垣 健二,おおがき けんじ,1978-10-19,男,ogaki_kenji@example.jp,0796-11-5437,080-5609-4967,661-4774,兵庫県神戸市中央区熊内橋通1-3-17
C-000007,浅井 洋平,あさい ようへい,1989-08-01,男,asaiyouhei@example.org,04-6988-1602,050-7384-8132,337-7336,埼玉県川口市前川1-4-16
C-000008,山口 有美子,やまぐち ゆみこ,2001-06-23,女,yamaguchi_1129@example.net,0947-40-6767,050-1148-5979,809-1120,福岡県糸島市加布里2-3-6
C-000009,吉井 優介,よしい ゆうすけ,1991-12-29,男,yuusukeyoshii@example.org,03-8812-2459,090-1737-1666,194-7364,東京都千代田区九段北2-1-3
C-000010,横山 優子,よこやま ゆうこ,1998-09-29,女,yokoyama_814@example.co.jp,03-1191-0869,050-4698-3329,146-4293,東京都港区六本木4-2-6
C-000011,末田 美樹,すえだ みき,2003-06-29,その他・不明,sueda_1013@example.co.jp,0794-59-8054,050-4373-4465,655-0652,兵庫県神戸市須磨区一ノ谷町3-1-9
C-000012,櫻井 大輔,さくらい だいすけ,1989-07-25,男,daisukesakurai@example.org,03-9224-5780,050-9510-1264,208-5949,東京都西東京市芝久保町1-1-3ダイヤモンドマンション706
C-000013,柴田 まき,しばた まき,1999-05-08,その他・不明,makishibata@example.com,03-6846-8239,070-9970-1167,106-3977,東京都世田谷区代沢3-4-21
C-000014,堀野 伸一郎,ほりの しんいちろう,2001-04-12,男,shinichirouhorino@example.com,0495-43-7097,050-2318-7998,356-3923,埼玉県川口市飯塚1-3-11メゾン104
C-000015,渋谷 英明,しぶや ひであき,1999-02-19,男,shibuya_84@example.co.jp,06-7730-2439,050-2698-2153,582-6964,大阪府大阪市西区北堀江2-2-6
C-000016,高橋 麻由,たかはし まゆ,1990-08-12,女,mayutakahashi@example.co.jp,042-367-3697,080-1359-7786,339-1867,埼玉県草加市稲荷1-3-106
C-000017,板倉 奈々,いたくら なな,1993-10-02,女,itakuranana@example.ne.jp,0980-86-0871,090-0122-9260,907-0377,沖縄県那覇市首里金城町1-1-10
C-000018,只野 理紗,ただの ありさ,2001-11-29,女,arisa_tadano@example.jp,082-556-5662,080-4448-0036,730-5755,広島県福山市大門町1-5-9パラツィーナ407
C-000019,阿部 真梨子,あべ まりこ,1996-07-06,女,marikoabe@example.co.jp,03-3361-5046,090-0644-0886,200-4808,東京都渋谷区神宮前4-1-6
C-000020,藤原 正,ふじわら ただし,1983-01-03,男,fujiwara_tadashi@example.co.jp,03-1619-5351,090-8498-6885,132-8471,東京都台東区東上野2-1-605ゾフィー608
C-000021,高崎 宗一,たかさき そういち,1983-12-10,男,takasaki814@example.jp,03-3590-1627,070-3415-2934,187-7664,東京都港区高輪1-2-8
C-000022,古家 辰哉,ふるや たつや,1991-03-28,男,furuya118@example.net,0946-16-1752,050-0499-9841,805-8058,福岡県北九州市小倉北区清水3-1-18グランデ505
C-000023,渡邉 和史,わたなべ かずし,1995-03-04,男,watanabe1231@example.net,0893-83-6139,090-4493-8857,790-9300,愛媛県今治市小泉3-1-5
C-000024,大島 基,おおしま もとい,1988-05-18,男,oshima_115@example.net,0258-74-2999,070-5571-9533,954-1642,新潟県新潟市江南区亀田四ツ興野1-2-7
C-000025,越後 篤子,えちご あつこ,2001-11-11,女,atsuko_echigo@example.co.jp,03-7082-7509,070-1327-0430,177-7575,東京都品川区荏原3-1-7
C-000026,斉藤 綾子,さいとう あやこ,1993-05-19,女,ayako_saito@example.net,03-6661-3037,070-4988-7733,143-1653,東京都足立区中央本町3-3-6
C-000027,小川 恵美,おがわ えみ,1998-05-30,女,emi_ogawa@example.jp,03-9895-9291,050-4397-7472,149-0846,東京都港区虎ノ門3-1-4
C-000028,佐々木 紀子,ささき のりこ,2005-01-21,女,sasaki_noriko@example.jp,043-152-0843,070-4563-1750,271-4688,千葉県船橋市習志野台3-2-15
