transaction_id,transaction_date,customer_id,product_id,count,sales,shipping_date,cancellation_date,status,name,hiragana,birth_date,gender,email,phone_number,mobile_number,post_code,address,product_name,brand,category,color,price
201904010000-1,2019-04-01,C-001213,CANB3,3,449400,2019-04-12,,配達済み,安部 真一郎,あべ しんいちろう,1991-01-30,男,abe_shinichirou@example.ne.jp,04-7471-0215,090-4544-4900,350-3609,埼玉県川口市本町3-2-10,Caps-A3-Mod,caps,ノートPC,Varied,156361.08
201904010003-1,2019-04-01,C-001572,ID16,1,16300,2019-04-09,,配達済み,古川 亜衣子,ふるかわ あいこ,1980-10-21,その他・不明,aikofurukawa@example.ne.jp,023-795-2131,090-0857-1626,993-6204,山形県酒田市亀ケ崎3-3-4デリード416,Display-16-Mod,ディスプレイ,周辺機器,Varied,16822.12
201904030001-1,2019-04-03,C-002610,INDB5,3,464400,2019-04-12,,配達済み,田沼 武彦,たぬま たけひこ,1983-09-11,その他・不明,tanuma103@example.org,0533-10-7078,070-6994-6205,490-4153,愛知県刈谷市一ツ木町3-1-9,Inter-W5-Mod,Inter,デスクトップ,Varied,147225.28
201904030001-2,2019-04-03,C-002610,IKW,6,22686,2019-04-14,,配達済み,田沼 武彦,たぬま たけひこ,1983-09-11,その他・不明,tanuma103@example.org,0533-10-7078,070-6994-6205,490-4153,愛知県刈谷市一ツ木町3-1-9,ワイヤレスキーボード-Mod,キーボード,周辺機器,Varied,3814.84
201904040006-1,2019-04-04,C-001267,ZENB9,6,1679400,2019-04-15,,配達済み,松井 隆史,まつい たかし,2001-01-28,男,takashi_matsui@example.com,03-9684-1508,070-6418-6358,110-3620,東京都大田区蒲田1-1-13,Zerace-J9-Mod,zerace,ノートPC,Varied,290798.17
201904040008-1,2019-04-04,C-001847,CADB3,3,524700,2019-04-15,,配達済み,小柳 彩乃,こやなぎ あやの,1981-03-13,女,ayanokoyanagi@example.com,03-6094-7549,050-1069-5707,101-0371,東京都渋谷区恵比寿4-2-8,Caps-B3-Mod,caps,デスクトップ,Varied,183390.7
201904040010-1,2019-04-04,C-002604,CANB3,2,299600,2019-04-18,,配達済み,広岡 夏実,ひろおか なつみ,1974-10-13,女,natsumi_hirooka@example.net,0889-34-1336,090-8469-1649,789-7810,高知県高知市十津3-2-19,Caps-A3-Mod,caps,ノートPC,Varied,156361.08
201904040011-1,2019-04-04,C-003126,CANB1,2,259600,2019-04-16,,配達済み,小田 靖彦,おだ やすひこ,1972-06-20,男,odayasuhiko@example.com,03-6444-9883,090-9410-9876,131-4730,東京都品川区東大井2-3-4,Caps-A1-Mod,caps,ノートPC,Varied,134700.16
201904040013-1,2019-04-04,C-003247,PUNS3,3,296220,2019-04-14,,配達済み,村上 卓哉,むらかみ たくや,1995-05-15,男,murakamitakuya@example.org,0257-15-3221,090-4597-7676,945-4020,新潟県長岡市関原南2-2-7,Puter-K2-Mod,puter,ノートPC,Varied,98080.84
201904050000-1,2019-04-05,C-000934,INDB5,1,154800,2019-04-17,,配達済み,平田 千賀子,ひらた ちかこ,1986-01-29,女,chikako_hirata@example.com,01654-8-9766,090-8630-3866,078-5710,北海道小樽市新光1-2-7,Inter-W5-Mod,Inter,デスクトップ,Varied,147225.28
