transaction_id,price,payment_date,customer_id,detail_id,item_id,quantity,item_name,item_price,customer_name,registration_date,customer_name_kana,email,gender,age,birth,pref,payment_date_time,registration_date_time
T0000000113,210000,2019-02-01,PL563502,0,S005,1,PC-E,210000,井本 芳正,2019-01-07,いもと よしまさ,imoto_yoshimasa@example.com,M,30,1989/7/15,熊本県,2019-02-01,2019-01-07
T0000000114,50000,2019-02-01,HD678019,1,S001,1,PC-A,50000,三船 六郎,2019-01-27,みふね ろくろう,mifune_rokurou@example.com,M,73,1945/11/29,京都府,2019-02-01,2019-01-27
T0000000115,120000,2019-02-01,HD298120,2,S003,1,PC-C,120000,山根 小雁,2019-01-11,やまね こがん,yamane_kogan@example.com,M,42,1977/5/17,茨城県,2019-02-01,2019-01-11
T0000000116,210000,2019-02-01,IK452215,3,S005,1,PC-E,210000,池田 菜摘,2019-01-10,いけだ なつみ,ikeda_natsumi@example.com,F,47,1972/3/17,兵庫県,2019-02-01,2019-01-10
T0000000117,170000,2019-02-01,PL542865,4,S002,2,PC-B,85000,栗田 憲一,2019-01-25,くりた けんいち,kurita_kenichi@example.com,M,74,1944/12/17,長崎県,2019-02-01,2019-01-25
T0000000118,120000,2019-02-01,GD372798,5,S003,1,PC-C,120000,藤村 充則,2019-01-24,ふじむら みつのり,fujimura_mitsunori@example.com,M,36,1983/7/18,福島県,2019-02-01,2019-01-24
T0000000119,180000,2019-02-01,IK782104,6,S004,1,PC-D,180000,榎本 薫,2019-01-14,えのもと かおる,enomoto_kaoru@example.com,M,58,1960/8/10,三重県,2019-02-01,2019-01-14
T0000000120,50000,2019-02-01,IK624245,7,S001,1,PC-A,50000,江崎 ジローラモ,2019-01-16,えざき じろーらも,ezaki_girolamo@example.com,M,67,1951/8/24,静岡県,2019-02-01,2019-01-16
T0000000121,210000,2019-02-01,HD218970,8,S005,1,PC-E,210000,岡田 敏也,2019-01-08,おかだ としや,okada_toshiya@example.com,M,23,1996/6/11,茨城県,2019-02-01,2019-01-08
T0000000122,85000,2019-02-01,AS912483,9,S002,1,PC-B,85000,玉山 まさみ,2019-01-09,たまやま まさみ,tamayama_masami@example.com,F,22,1997/4/26,東京都,2019-02-01,2019-01-09
T0000000123,50000,2019-02-01,OA336650,10,S001,1,PC-A,50000,安田 直人,2019-01-01,やすだ なおと,yasuda_naoto@example.com,M,68,1950/8/13,神奈川県,2019-02-01,2019-01-01
T0000000124,120000,2019-02-01,OA207651,11,S003,1,PC-C,120000,金沢 友香,2019-01-02,かねざわ ともか,kanezawa_tomoka@example.com,F,72,1947/3/1,沖縄県,2019-02-01,2019-01-02
T0000000125,180000,2019-02-01,TS419694,12,S004,1,PC-D,180000,杉浦 陽子,2019-01-30,すぎうら ようこ,sugiura_youko@example.com,F,69,1950/7/11,静岡県,2019-02-01,2019-01-30
T0000000126,170000,2019-02-01,HD068817,13,S002,2,PC-B,85000,堀 惇,2019-01-04,ほり あつし,hori_atsushi@example.com,M,68,1951/5/17,大阪府,2019-02-01,2019-01-04
T0000000127,85000,2019-02-01,OA041301,14,S002,1,PC-B,85000,高畑 さんま,2019-01-05,たかばた さんま,takabata_sanma@example.com,M,32,1986/12/28,茨城県,2019-02-01,2019-01-05
T0000000128,210000,2019-02-01,IK234815,15,S005,1,PC-E,210000,渡部 亮,2019-01-15,わたべ りょう,watabe_ryou@example.com,M,68,1951/7/27,青森県,2019-02-01,2019-01-15
T0000000129,50000,2019-02-01,TS146087,16,S001,1,PC-A,50000,神保 遥,2019-01-29,じんぼ はるか,jinbo_haruka@example.com,F,48,1970/9/27,東京都,2019-02-01,2019-01-29
T0000000130,210000,2019-02-01,AS614406,17,S005,1,PC-E,210000,工藤 一輝,2019-01-22,くどう かずき,kudou_kazuki@example.com,M,26,1993/8/3,青森県,2019-02-01,2019-01-22
T0000000131,85000,2019-02-01,PL964421,18,S002,1,PC-B,85000,古沢 徹,2019-01-05,ふるさわ とおる,furusawa_tohru@example.com,M,29,1990/5/9,熊本県,2019-02-01,2019-01-05
T0000000132,180000,2019-02-01,AS642796,19,S004,1,PC-D,180000,奥田 愛子,2019-01-27,おくだ あいこ,okuda_aiko@example.com,F,42,1976/8/29,神奈川県,2019-02-01,2019-01-27
T0000000133,210000,2019-02-01,GD648354,20,S005,1,PC-E,210000,木原 ケンイチ,2019-01-08,きはら けんいち,kihara_kenichi1@example.com,M,22,1997/1/13,北海道,2019-02-01,2019-01-08
T0000000134,150000,2019-02-01,TS701801,21,S001,3,PC-A,50000,梅沢 さゆり,2019-01-22,うめざわ さゆり,umezawa_sayuri@example.com,F,76,1942/9/28,鹿児島県,2019-02-01,2019-01-22
T0000000135,100000,2019-02-01,GD362521,22,S001,2,PC-A,50000,松岡 春樹,2019-01-06,まつおか はるき,matsuoka_haruki@example.com,F,69,1950/2/1,静岡県,2019-02-01,2019-01-06
T0000000136,120000,2019-02-01,OA041099,23,S003,1,PC-C,120000,浅川 太朗,2019-01-26,あさかわ たろう,asakawa_tarou@example.com,M,69,1950/7/20,東京都,2019-02-01,2019-01-26
T0000000137,210000,2019-02-01,GD029189,24,S005,1,PC-E,210000,益田 メイサ,2019-01-16,ますだ めいさ,masuda_meisa@example.com,F,73,1946/1/14,岩手県,2019-02-01,2019-01-16
T0000000138,50000,2019-02-01,GD241254,25,S001,1,PC-A,50000,辻 みゆき,2019-01-06,つじ みゆき,tsuji_miyuki@example.com,F,77,1942/6/16,香川県,2019-02-01,2019-01-06
T0000000139,100000,2019-02-02,AS220894,26,S001,2,PC-A,50000,梶原 一恵,2019-01-26,かじわら かづえ,kajiwara_kadue@example.com,F,54,1965/5/3,埼玉県,2019-02-02,2019-01-26
